;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
148;29,75;59,55;22,55;119,216;50,693;;;74,02699999999999;74,02699999999999;14,47699999999999;-6;6
149;29,95;59,55;22,55;117,773;49,405;;;74,182;74,182;14,632000000000005;-6;6
150;30,0;71,24;13,43;119,219;55,004;53,511;67,72200000000001;69,215;69,215;-2,0249999999999915;-6;6
151;31,0;71,39;13,41;119,196;52,997;50,924;65,138;67,21100000000001;67,21100000000001;-4,178999999999988;-6;6
152;32,0;71,51;13,41;119,134;51,696;49,49;63,766000000000005;65,972;65,972;-5,538000000000011;-6;6
153;33,0;71,62;13,41;119,18;52,666;50,998;65,22799999999998;66,89599999999999;66,89599999999999;-4,724000000000018;-6;6
154;34,0;71,71;13,41;119,138;54,488;54,27;68,542;68,75999999999999;68,75999999999999;-2,950000000000003;-6;6
155;35,0;71,81;13,4;119,083;52,46;52,547;66,864;66,77700000000002;66,864;-4,945999999999998;-6;6
156;36,0;71,92;14,04;119,06;49,688;49,535;64,51499999999999;64,66799999999998;64,66799999999998;-7,252000000000024;-6;6
157;37,0;72,09;14,04;119,088;48,965;49,144;64,096;63,91700000000001;64,096;-7,994;-6;6
158;38,0;72,36;14,04;119,01;50,767;51,317;66,34700000000001;65,797;66,34700000000001;-6,012999999999991;-6;6
159;39,0;72,84;14,04;119,008;52,491;53,433;68,465;67,523;68,465;-4,375;-6;6
160;40,0;73,61;14,68;118,98;48,981;50,43;66,13;64,68099999999998;66,13;-7,480000000000004;-6;6
161;41,0;74,76;14,66;118,963;45,711;48,215;63,912000000000006;61,408000000000015;63,912000000000006;-10,847999999999999;-6;6
162;42,0;76,28;14,66;118,864;44,607;48,256;64,05199999999999;60,40299999999999;64,05199999999999;-12,228000000000009;-6;6
163;43,0;78,03;14,66;118,887;46,354;50,709;66,482;62,12699999999998;66,482;-11,548000000000002;-6;6
164;44,0;79,76;14,66;118,813;48,278;52,755;68,60199999999999;64,12499999999999;68,60199999999999;-11,158000000000015;-6;6
165;45,0;81,16;14,64;118,791;45,457;49,572;65,421;61,306;65,421;-15,73899999999999;-6;6
166;46,0;82,04;14,49;118,722;42,914;46,82;62,588;58,681999999999995;62,588;-19,452000000000005;-6;6
167;47,0;82,43;14,49;118,7;42,69;46,715;62,505;58,48;62,505;-19,925000000000004;-6;6
168;48,0;82,48;14,49;118,621;45,249;49,303;65,172;61,118;65,172;-17,308000000000007;-6;6
169;49,0;82,37;14,49;118,629;48,299;52,536;68,39699999999999;64,16;68,39699999999999;-13,973000000000013;-6;6
